Test Case,Array Size,Kth Smallest Element Position,Runtime
6053,26405,248,0.000018
6062,2911,557,0.000018
6068,22681,802,0.000019
6084,2969,19,0.000017
6091,6650,639,0.000018
6097,4703,481,0.000019
6105,1764,969,0.000018
6106,553,565,0.000008
6107,12056,119,0.000021
6108,4478,707,0.000021
6113,29869,179,0.000019
6115,14970,247,0.000019
6119,3641,303,0.000024
6122,11411,741,0.000018
6124,4148,301,0.000019
6131,23413,661,0.000018
6147,1847,501,0.000022
6161,14774,87,0.000019
6162,20404,687,0.000019
6165,1947,908,0.000016
6171,19279,429,0.000019
6187,104,915,0.000002
6191,12818,402,0.000019
6192,1140,22,0.000012
6197,14715,995,0.000018
6201,16070,671,0.000023
6216,5849,250,0.000019
6221,1011,547,0.000012
6223,16244,51,0.000018
6228,895,153,0.000010
6237,3787,186,0.000018
6238,14576,33,0.000020
6245,8272,52,0.000019
6246,127,355,0.000002
6247,4920,25,0.000018
6251,1429,718,0.000014
6262,1056,363,0.000012
6282,1709,999,0.000015
6288,6040,178,0.000019
6301,3874,792,0.000018
6318,10694,214,0.000018
6321,6372,617,0.000019
6329,9509,67,0.000018
6333,6917,906,0.000020
6344,18653,997,0.000019
6345,30512,962,0.000019
6357,1327,630,0.000014
6358,779,536,0.000010
6362,3323,326,0.000018
6367,4447,359,0.000018
6369,783,310,0.000010
6377,12195,95,0.000019
6380,15056,145,0.000020
6388,7093,194,0.000019
6392,14385,625,0.000019
6396,3213,943,0.000018
6408,21780,374,0.000023
6415,1856,886,0.000016
6417,4159,674,0.000019
6421,2017,561,0.000016
6422,11735,918,0.000019
6424,27730,935,0.000019
6433,1197,183,0.000019
6438,3915,573,0.000018
6443,7968,174,0.000019
6445,2011,828,0.000016
6449,5014,446,0.000019
6451,26059,182,0.000020
6452,25702,937,0.000018
6470,627,344,0.000008
6487,14631,674,0.000019
6494,1857,259,0.000016
6499,2903,850,0.000017
6504,10736,469,0.000019
6508,710,763,0.000009
6511,2351,513,0.000017
6515,427,663,0.000008
6525,2414,384,0.000018
6536,32113,775,0.000020
6541,7750,265,0.000019
6554,15798,971,0.000019
6580,6275,782,0.000018
6588,16873,904,0.000017
6589,30794,946,0.000019
6593,18621,506,0.000019
6603,12644,717,0.000019
6609,25001,7,0.000018
6619,223,676,0.000003
6622,3251,644,0.000018
6643,6389,60,0.000018
6658,19978,700,0.000018
6659,1011,659,0.000012
6668,7856,159,0.000019
6678,22279,721,0.000019
6688,7830,912,0.000018
6690,10552,370,0.000019
6695,1167,392,0.000013
6712,808,693,0.000011
6720,6351,950,0.000019
6728,1733,803,0.000014
6736,7863,175,0.000019
6741,80,921,0.000001
6759,560,165,0.000008
6767,22338,792,0.000018
6782,15045,25,0.000023
6806,2464,712,0.000018
6810,3748,51,0.000019
6814,3201,408,0.000018
6823,22588,288,0.000020
6837,109,745,0.000002
6843,26824,931,0.000022
6857,18486,117,0.000019
6858,972,348,0.000011
6860,17757,468,0.000019
6869,2401,335,0.000017
6873,2862,128,0.000024
6877,6990,865,0.000021
6893,27491,979,0.000019
6894,1401,104,0.000013
6899,18267,366,0.000018
6901,7127,819,0.000018
6912,14203,628,0.000017
6920,41,837,0.000001
6921,2208,587,0.000017
6923,2763,728,0.000021
6936,5597,663,0.000018
6947,3497,57,0.000018
6976,3095,223,0.000022
6989,2652,215,0.000017
6992,9434,208,0.000019
7004,4716,44,0.000018
7010,2802,420,0.000018
7025,6352,699,0.000019
7036,13327,797,0.000018
7052,5523,452,0.000018
7059,10158,216,0.000019
7060,25952,740,0.000019
7061,5119,822,0.000019
7062,25972,877,0.000019
7072,6939,682,0.000018
7073,7885,385,0.000019
7081,301,892,0.000005
7088,1099,260,0.000013
7092,7910,479,0.000019
7103,200,554,0.000003
7117,21825,234,0.000019
7120,141,957,0.000002
7122,8295,722,0.000019
7129,22737,831,0.000019
7140,2579,584,0.000017
7145,3444,415,0.000019
7152,6769,828,0.000021
7167,6197,794,0.000019
7180,5034,34,0.000019
